666666,10417,8
666666,1358,7
666666,13601,10
666666,2001,9
666666,21877,8
666666,28851,7
666666,28999,9
666666,30276,9
666666,31240,9
666666,32281,9
666666,34134,7
666666,35790,9
666666,37349,8
666666,37403,5
666666,37435,6
666666,37450,9
666666,37520,9
666666,37779,8
666666,37779,9
666666,37982,8
666666,37984,6
666666,38000,9
666666,38080,6
666666,38186,8
666666,38329,8
666666,38397,6
666666,38408,8
666666,38483,7
666666,38668,7
666666,38691,7
666666,38753,6
666666,38853,1
666666,39026,5
666666,39030,6
666666,39195,8
666666,39326,5
666666,39491,7
666666,39535,7
666666,39565,8
666666,39570,9
666666,39576,6
666666,39617,6
666666,39940,8
666666,40004,8
666666,40052,7 
666666,40060,7
666666,40456,8
666666,40530,6
666666,40594,5
666666,40613,7
666666,40748,8
666666,40750,6
666666,40852,7
666666,40908,6
666666,41226,7
666666,41353,6
666666,41762,4
666666,41899,5
666666,42897,7
666666,42923,7
666666,43299,6
666666,47,9
666666,523,9
666666,543,8
666666,72, 9